Firstname,Lastname,Birthdate,Deathdate
Karl,Renner,1870-12-14,1950-12-31
Michael,Mayr,1864-04-10,1922-05-21
Johann,Schober,1874-11-14,1932-08-19
Walter,Breisky,1871-07-08,1944-09-25
Ignaz,Seipel,1876-07-19,1932-08-02
Rudolf,Ramek,1881-04-12,1941-07-24
Ernst,Streeruwitz,1874-09-23,1952-10-19
Carl,Vaugoin,1873-07-08,1949-06-10
Otto,Ender,1875-12-24,1960-06-25
Karl,Buresch,1878-10-12,1936-09-16
Engelbert,Dollfuß,1892-10-04,1934-07-25
Kurt,Schuschnigg,1897-12-14,1977-11-18
Arthur,Seyß-Inquart,1892-07-22,1946-10-16
Leopold,Figl,1902-10-02,1965-05-09
Julius,Raab,1891-11-29,1964-01-08
Alfons,Gorbach,1898-09-02,1972-07-31
Josef,Klaus,1910-08-15,2001-07-25
Bruno,Kreisky,1911-01-22,1990-07-29
Fred,Sinowatz,1929-02-05,2008-08-11
Franz,Vranitzky,1937-10-04,
Viktor,Klima,1947-06-04,
Wolfgang,Schüssel,1945-06-07,
Alfred,Gusenbauer,1960-02-08,
Werner,Faymann,1960-05-04,
Reinhold,Mitterlehner,1955-12-10,
Christian,Kern,1966-01-04,
Sebastian,Kurz,1986-08-27,
Hartwig,Löger,1965-07-15,
Brigitte,Bierlein,1949-06-25,
Alexander,Schallenberg,1969-06-20,
Karl,Nehammer,1972-10-18,
